OPEN_ID,BUY_TXN_ID,TICKER,INSTRUMENT_TYPE,OPTION_SYMBOL,STRIKE,EXPIRY,ACCOUNT_NAME,ACCOUNT_NUMBER,BUY_DATE,BUY_PRICE,BUY_QUANTITY,BUY_AMOUNT,DAYS_HELD,EST_CURRENT_PRICE,EST_UNREALIZED_PCT,EST_UNREALIZED_DOLLAR,NOMINAL_VALUE,LEVERAGE
ULqRGbgId77xq2XcSKHu,,GNRC,CALL,GNRC280121C00180000,180,2028-01-21,IRA,,2026-06-10,104.26,1,10425.67,2,10425,-0.01,-0.67,18000.00,1.73
qosjc7taGhevePnhJXu6,,FSLY,CALL,FSLY280121C00020000,20,2028-01-21,IRA,,2026-05-07,10.50,1,1050.02,36,880.0000000000001,-16.19,-170.02,2000.00,1.90
zflAAt90qCoos3idKpkv,,AVAV,CALL,AVAV280121C00160000,160,2028-01-21,IRA,,2026-06-02,97.01,1,9700.67,10,9710,0.10,9.33,16000.00,1.65
I0mrij8EMTiGbWqige3m,,COHR,CALL,COHR280121C00300000,300,2028-01-21,IRA ROTH,,2026-06-09,180.11,1,18010.67,3,18700,3.83,689.33,30000.00,1.67
a7pCS0R2SKUT0u2gWud6,,FSLY,CALL,FSLY280121C00015000,15,2028-01-21,DI Ind.,,2026-05-07,10.80,3,3239.02,36,1155,6.98,225.98,4500.00,1.39
fgyfR2gGYS7vGg6A2xQY,,CRM,CALL,CRM280121C00140000,140,2028-01-21,IRA,,2026-04-29,67.36,1,6735.67,44,5659,-15.98,-1076.67,14000.00,2.08
M76OpTaE7RGQB2eK94PP,,CBRS,CALL,CBRS280121C00170000,170,2028-01-21,IRA,,2026-06-11,113.76,1,11375.67,1,12100,6.37,724.33,17000.00,1.49
JcO7SjvsxEyDfgNJ9q87,,CRWV,CALL,CRWV280121C00075000,75,2028-01-21,IRA ROTH,,2026-05-19,49.96,1,4995.67,24,4900,-1.92,-95.67,7500.00,1.50
E14PIliDtMAeFNmdTFL4,,VEEV,CALL,VEEV280121C00155000,155,2028-01-21,IRA,,2026-06-01,69.01,1,6900.67,11,5150,-25.37,-1750.67,15500.00,2.25
1HyPAjnYz2Yj8RsRGSgw,,PLTR,CALL,PLTR280121C00110000,110,2028-01-21,IRA ROTH,,2026-04-23,61.41,2,12281.35,50,4970,-19.06,-2341.35,22000.00,1.79
7yXk3a1IFGHOh2y6CfLY,,PLTR,CALL,PLTR280121C00110000,110,2028-01-21,IRA ROTH,,2026-04-23,59.51,1,5950.67,50,4970,-16.48,-980.67,11000.00,1.85
A3cM52Zp9btxN2RsAxCH,,PLTR,CALL,PLTR280121C00110000,110,2028-01-21,IRA ROTH,,2026-04-23,60.36,1,6035.67,50,4970,-17.66,-1065.67,11000.00,1.82
aYnMYoZiij8jfephef0j,,SMCI,CALL,SMCI280121C00028000,28,2028-01-21,IRA ROTH,,2026-06-10,16.71,1,1670.67,2,1459,-12.67,-211.67,2800.00,1.68
6iubqI3sRotJD3AJcn12,,NTNX,CALL,NTNX280121C00040000,40,2028-01-21,IRA,,2026-06-11,18.76,1,1875.67,1,1875,-0.04,-0.67,4000.00,2.13
tqpQU34nueeS68AzT4FF,,FSLY,CALL,FSLY280121C00020000,20,2028-01-21,IRA,,2026-05-07,10.83,2,2166.05,36,880.0000000000001,-18.75,-406.05,4000.00,1.85
4gaQntZYtcbBFnvfopRo,,CRM,CALL,CRM280121C00140000,140,2028-01-21,IRA,,2026-04-30,62.00,1,6200.02,43,5659,-8.73,-541.02,14000.00,2.26
LMt0OvLLPxQrBoEJpOmk,,MDB,CALL,MDB280121C00280000,280,2028-01-21,IRA,,2026-06-03,170.86,1,17085.67,9,16205.000000000002,-5.15,-880.67,28000.00,1.64
B6laGqEtlWbn6osSe1wy,,FSLY,CALL,FSLY280121C00015000,15,2028-01-21,IRA,,2026-05-12,10.45,10,10446.72,31,1155,10.56,1103.28,15000.00,1.44
olLE3LwhslcgHArgedyU,,EWY,CALL,EWY280121C00120000,120,2028-01-21,IRA,,2026-06-05,82.66,1,8265.67,7,9300,12.51,1034.33,12000.00,1.45
nJFk6QqHsWS5X8sBLCFR,,FSLY,CALL,FSLY280121C00020000,20,2028-01-21,IRA ROTH,,2026-05-07,10.70,1,1070.02,36,880.0000000000001,-17.76,-190.02,2000.00,1.87
dFJxxI3wGn6owMyrlQOO,,BE,CALL,BE280121C00220000,220,2028-01-21,IRA,,2026-05-18,139.49,1,13948.67,25,14044.999999999998,0.69,96.33,22000.00,1.58
J4xUvXFbnshpcXspQaHW,,ARM,CALL,ARM280121C00250000,250,2028-01-21,IRA ROTH,,2026-06-09,165.26,1,16525.67,3,18429,11.52,1903.33,25000.00,1.51
wlgRQVEzTWLmXj8Z2uPI,,ANET,CALL,ANET280121C00115000,115,2028-01-21,IRA ROTH,,2026-05-06,58.52,3,17556.00,37,6823,16.59,2913.00,34500.00,1.97
1JyFxgwhmo2HTBrwnsmm,,P,CALL,P280121C00060000,60,2028-01-21,IRA,,2026-05-28,30.33,1,3032.67,15,2770,-8.66,-262.67,6000.00,1.98
P48Trqs0xTafABraRxxb,,NET,CALL,NET280121C00210000,210,2028-01-21,IRA ROTH,,2026-06-04,122.86,1,12285.67,8,8428,-31.40,-3857.67,21000.00,1.71
pTKdDo9A19BwHy6KyrfK,,RDDT,CALL,RDDT280121C00130000,130,2028-01-21,IRA,,2026-06-02,79.94,1,7993.67,10,8355,4.52,361.33,13000.00,1.63
NlZLtriUKFAbfuo9sQtg,,LMND,CALL,LMND280121C00045000,45,2028-01-21,IRA,,2026-06-03,25.89,1,2588.67,9,2490,-3.81,-98.67,4500.00,1.74
YGWfjYdUOwLNfWmYzgza,,NBIS,CALL,NBIS280121C00190000,190,2028-01-21,IRA,,2026-06-05,122.16,1,12215.67,7,11496,-5.89,-719.67,19000.00,1.56
7fKNft5wFi7K3t23hNgb,,P,CALL,P280121C00060000,60,2028-01-21,IRA,,2026-05-28,31.96,1,3195.67,15,2770,-13.32,-425.67,6000.00,1.88
odeJ9sx8Q3T9sjr7vuOs,,NVDA,CALL,NVDA280121C00165000,165,2028-01-21,IRA ROTH,,2026-05-07,79.25,3,23775.07,36,7118.000000000001,-10.18,-2421.07,49500.00,2.08
MrjbXBIliKL8W8J7D2fo,,AVAV,CALL,AVAV280121C00145000,145,2028-01-21,IRA ROTH,,2026-06-03,96.51,1,9650.67,9,8320,-13.79,-1330.67,14500.00,1.50
JxRbQ6EHRMwzDY3RGrmL,,NBIS,CALL,NBIS280121C00200000,200,2028-01-21,IRA,,2026-06-05,120.01,1,12000.67,7,12026,0.21,25.33,20000.00,1.67
RNdUAjBXxayMsXGlND4u,,NOW,CALL,NOW280121C00070000,70,2028-01-21,IRA,,2026-05-01,39.10,1,3910.02,42,5150,31.71,1239.98,7000.00,1.79
b8NeVV9J0SK5HUzsta94,,AMD,CALL,AMD280121C00350000,350,2028-01-21,IRA,,2026-06-05,221.01,1,22100.67,7,23828,7.82,1727.33,35000.00,1.58
BFvXyD7t0WExrY4HsCdc,,PWR,CALL,PWR280121C00580000,580,2028-01-21,IRA,,2026-05-12,297.51,1,29750.67,31,27519,-7.50,-2231.67,58000.00,1.95
